Order ID,Shipping Date,Carrier,Tracking Number,Latitude,Longitude,Status,Delivery Days,Late,Region
3099,2025-01-01,NorthPeak Express,470487686,-14.690998,-67.237407,Delayed,14,True,South America
3166,2025-01-02,NorthPeak Express,285968970,42.432905,-88.763877,Returned,13,True,North America
3116,2025-01-03,TrailRunner Logistics,506302860,37.123109,-108.235625,Delayed,4,False,North America
3788,2025-01-04,NorthPeak Express,409074593,58.30921,17.38375,In Transit,10,False,Europe
3748,2025-01-05,TrailRunner Logistics,368726455,21.799075,145.153477,Delivered,9,False,Asia
3958,2025-01-06,TrailRunner Logistics,200354338,24.775636,142.402725,Delayed,13,True,Asia
3065,2025-01-07,SnowWing Delivery,782605483,-45.570622,-50.291488,In Transit,13,True,South America
3075,2025-01-08,NorthPeak Express,541356285,41.859535,125.41013,In Transit,4,False,Asia
3739,2025-01-09,NorthPeak Express,184357118,28.668194,-122.554226,Delivered,6,False,North America
3986,2025-01-10,GlacierLine Freight,337232004,51.604254,122.135594,Delivered,10,False,Asia
3852,2025-01-11,SnowWing Delivery,390446132,-38.077604,-77.503323,Delayed,11,True,South America
3447,2025-01-12,SummitCargo Transport,378476154,49.435506,9.893653,Delivered,11,True,Europe
3029,2025-01-13,TrailRunner Logistics,266220645,58.45394,-0.60922,Delayed,6,False,Europe
3770,2025-01-14,TrailRunner Logistics,183277448,55.893915,-8.931012,Returned,8,False,Europe
3064,2025-01-15,NorthPeak Express,666276941,47.801711,21.344591,Delayed,5,False,Europe
3888,2025-01-16,GlacierLine Freight,345429508,57.217138,-3.918015,In Transit,9,False,Europe
3295,2025-01-17,SummitCargo Transport,815618061,29.950321,-90.243977,Returned,1,False,North America
3773,2025-01-18,TrailRunner Logistics,301164656,-40.218464,-43.095566,Returned,2,False,South America
3793,2025-01-19,SnowWing Delivery,329967546,-48.490762,-40.956964,Returned,12,True,South America
3746,2025-01-20,NorthPeak Express,667186808,-33.643653,-38.404205,In Transit,3,False,South America
3882,2025-01-21,SnowWing Delivery,749865106,30.003523,132.59663,Delivered,14,True,Asia
3334,2025-01-22,SummitCargo Transport,614670079,47.51526,5.985469,Delivered,7,False,Europe
3355,2025-01-23,SummitCargo Transport,889945363,28.338507,-104.643187,Delivered,9,False,North America
3207,2025-01-24,SnowWing Delivery,722804962,30.146498,116.864924,Returned,14,True,Asia
3823,2025-01-25,NorthPeak Express,952616208,20.080822,79.990659,Delayed,2,False,Asia
3152,2025-01-26,NorthPeak Express,998181273,50.59177,-7.47868,In Transit,4,False,Europe
3875,2025-01-27,TrailRunner Logistics,694562658,36.714403,-100.566064,Returned,5,False,North America
3167,2025-01-28,TrailRunner Logistics,330957363,32.220133,-123.354812,Returned,13,True,North America
3386,2025-01-29,NorthPeak Express,958106487,28.338925,-116.046062,In Transit,2,False,North America
3562,2025-01-30,TrailRunner Logistics,145166500,40.048545,122.62399,Returned,12,True,Asia
3907,2025-01-31,SummitCargo Transport,177815959,16.65939,97.217243,Delivered,9,False,Asia
3556,2025-02-01,SummitCargo Transport,140372143,59.368458,4.712171,Delivered,8,False,Europe
3189,2025-02-02,GlacierLine Freight,541682682,28.804756,112.402305,Delayed,5,False,Asia
3575,2025-02-03,NorthPeak Express,216318702,10.836344,-54.995116,Returned,9,False,South America
3242,2025-02-04,TrailRunner Logistics,451563008,-23.123293,-37.642019,In Transit,9,False,South America
3912,2025-02-05,SnowWing Delivery,204476657,36.253265,-79.877357,Delivered,4,False,North America
3425,2025-02-06,TrailRunner Logistics,981580775,39.427571,62.274392,In Transit,5,False,Asia
3220,2025-02-07,SummitCargo Transport,722980887,42.048853,-109.856596,Delivered,6,False,North America
3048,2025-02-08,GlacierLine Freight,409423938,9.242652,-51.679613,In Transit,13,True,South America
3239,2025-02-09,TrailRunner Logistics,473986039,-1.200446,-71.059039,In Transit,6,False,South America
3659,2025-02-10,GlacierLine Freight,115026648,35.443794,-103.461911,Returned,4,False,North America
3610,2025-02-11,SnowWing Delivery,920199014,28.241158,-96.915318,Delayed,5,False,North America
3893,2025-02-12,SnowWing Delivery,620043134,9.444719,-54.393643,Returned,1,False,South America
3417,2025-02-13,NorthPeak Express,284514961,31.890806,134.918352,Delayed,9,False,Asia
3607,2025-02-14,SummitCargo Transport,770590571,30.269965,-89.449878,Delayed,1,False,North America
3026,2025-02-15,TrailRunner Logistics,420723348,27.80801,94.480357,Returned,12,True,Asia
3157,2025-02-16,TrailRunner Logistics,213012880,35.771428,-124.089893,Delivered,9,False,North America
3314,2025-02-17,TrailRunner Logistics,816604271,-13.206662,-59.329941,Returned,4,False,South America
3615,2025-02-18,TrailRunner Logistics,535779126,-29.043964,-76.932851,Returned,11,True,South America
3771,2025-02-19,TrailRunner Logistics,293993757,27.361622,-112.173719,Delivered,9,False,North America
3577,2025-02-20,NorthPeak Express,990306413,-47.701887,-59.570791,In Transit,2,False,South America
3326,2025-02-21,GlacierLine Freight,586293439,55.677859,25.47482,In Transit,10,False,Europe
3945,2025-02-22,TrailRunner Logistics,184284228,37.596245,-100.967221,Returned,3,False,North America
3291,2025-02-23,GlacierLine Freight,556676636,38.938123,-113.718793,Delivered,13,True,North America
3836,2025-02-24,SnowWing Delivery,330815932,57.475482,25.862165,Delayed,5,False,Europe
